Date;Open;High;Low;Close
31.01.2019;3485.409180;3504.804932;3447.915771;3457.792725
01.02.2019;3460.547119;3501.954102;3431.591553;3487.945313
02.02.2019;3484.625977;3523.287354;3467.574707;3521.060791
03.02.2019;3516.139648;3521.388184;3447.924316;3464.013428
04.02.2019;3467.211670;3476.223877;3442.586914;3459.154053
05.02.2019;3454.950928;3478.148193;3451.937012;3466.357422
06.02.2019;3469.091797;3469.091797;3398.565430;3413.767822
07.02.2019;3414.929443;3427.945557;3394.218506;3399.471680
08.02.2019;3401.376465;3695.614014;3391.023682;3666.780273
09.02.2019;3671.585938;3679.941406;3646.559326;3671.203613
10.02.2019;3673.201416;3695.036133;3640.979980;3690.188232
11.02.2019;3695.613037;3695.613037;3642.287842;3648.430664
12.02.2019;3642.751953;3668.586914;3618.556885;3653.528564
13.02.2019;3653.604004;3669.746582;3617.246338;3632.070557
14.02.2019;3631.170166;3646.256592;3607.697754;3616.880859
15.02.2019;3617.368408;3647.795166;3608.206543;3620.810791
16.02.2019;3615.270264;3652.841309;3615.270264;3629.787598
17.02.2019;3633.359375;3680.537354;3619.182129;3673.836182
18.02.2019;3671.369873;3936.665039;3669.982422;3915.714355
19.02.2019;3911.661621;4010.879395;3908.153076;3947.094482
20.02.2019;3946.685059;4000.486328;3926.246826;3999.820557
21.02.2019;4000.256836;4010.009521;3940.108154;3954.118164
22.02.2019;3952.406494;4006.538330;3950.816406;4005.526611
23.02.2019;3998.916260;4166.286133;3968.726807;4142.526855
24.02.2019;4145.458008;4210.641602;3793.708984;3810.427490
25.02.2019;3807.002441;3913.707275;3807.002441;3882.696289
26.02.2019;3878.697266;3891.578857;3837.986328;3854.357910
27.02.2019;3857.479736;3888.802490;3787.058838;3851.047363
28.02.2019;3848.261963;3906.058350;3845.821289;3854.785400
01.03.2019;3853.757080;3907.795410;3851.692383;3859.583740
02.03.2019;3855.318115;3874.607422;3832.127930;3864.415039
03.03.2019;3862.266113;3875.483643;3836.905762;3847.175781
04.03.2019;3845.091553;3867.381836;3733.749756;3761.557129
05.03.2019;3759.832520;3903.916748;3745.183105;3896.375000
06.03.2019;3897.081055;3919.510498;3871.460693;3903.942627
07.03.2019;3903.384766;3939.373291;3894.113037;3911.484375
08.03.2019;3913.225830;3950.432129;3875.228516;3901.131592
09.03.2019;3894.552490;3987.237793;3892.390381;3963.313721
10.03.2019;3966.174316;3966.174316;3924.381104;3951.599854
11.03.2019;3953.740234;3966.384766;3889.239014;3905.227295
12.03.2019;3903.758301;3926.889160;3863.559082;3909.156250
13.03.2019;3913.047363;3926.597656;3891.904297;3906.717285
14.03.2019;3905.576904;3946.504395;3901.296875;3924.369141
15.03.2019;3926.663330;3968.542969;3914.015381;3960.911133
16.03.2019;3963.900146;4077.036377;3961.657471;4048.725830
17.03.2019;4047.719482;4054.122070;4006.411133;4025.229004
18.03.2019;4029.968506;4071.556641;4009.117188;4032.507324
19.03.2019;4032.691895;4082.216064;4023.812500;4071.190186
20.03.2019;4070.793945;4089.461914;4031.110840;4087.476318
21.03.2019;4083.953857;4097.359863;4005.151367;4029.326904
22.03.2019;4028.514648;4053.906738;4021.542480;4023.968262
23.03.2019;4022.713379;4049.882568;4015.964600;4035.826416
24.03.2019;4035.163574;4040.699707;4006.192871;4022.168213
25.03.2019;4024.112793;4038.840820;3934.031250;3963.070557
26.03.2019;3969.228760;3985.080811;3944.753174;3985.080811
27.03.2019;3984.244873;4087.066162;3977.810547;4087.066162
28.03.2019;4087.584473;4094.902100;4040.266357;4069.107178
29.03.2019;4068.299805;4113.500977;4034.097168;4098.374512
30.03.2019;4092.136230;4296.806641;4053.909668;4106.660156
31.03.2019;4105.456055;4113.023438;4094.100830;4105.404297
01.04.2019;4105.362305;4164.953125;4096.901367;4158.183105
02.04.2019;4156.919434;4905.954590;4155.316895;4879.877930
03.04.2019;4879.958008;5307.003418;4876.621094;4973.021973
04.04.2019;4971.307617;5063.159668;4836.793945;4922.798828
05.04.2019;4922.806152;5053.509766;4919.491699;5036.681152
06.04.2019;5036.792969;5205.821777;4992.222168;5059.817383
07.04.2019;5062.793945;5235.186523;5050.412109;5198.896973
08.04.2019;5199.835449;5318.836426;5148.211914;5289.770996
09.04.2019;5289.917969;5289.917969;5167.418945;5204.958496
10.04.2019;5204.105469;5421.651367;5193.382324;5324.551758
11.04.2019;5325.081543;5354.225586;5017.296387;5064.487793
12.04.2019;5061.200684;5103.274414;4955.852539;5089.539063
13.04.2019;5088.850098;5127.122070;5061.589355;5096.586426
14.04.2019;5095.758789;5184.016113;5053.568359;5167.722168
15.04.2019;5167.321777;5196.606934;5024.069336;5067.108398
16.04.2019;5066.577637;5238.945313;5055.194824;5235.559570
17.04.2019;5236.135254;5274.275391;5219.205566;5251.937988
18.04.2019;5251.480469;5319.986328;5250.506836;5298.385742
19.04.2019;5298.154297;5336.680176;5233.334961;5303.812500
20.04.2019;5304.160645;5358.490723;5295.877930;5337.886230
21.04.2019;5335.878906;5359.924805;5257.339355;5314.531250
22.04.2019;5312.494629;5422.687500;5280.276855;5399.365234
23.04.2019;5399.365723;5633.802246;5389.408691;5572.362305
24.04.2019;5571.508301;5642.044434;5418.263184;5464.866699
25.04.2019;5466.524414;5542.238281;5181.338867;5210.515625
26.04.2019;5210.304688;5383.634277;5177.368652;5279.348145
27.04.2019;5279.471191;5310.750000;5233.635742;5268.291016
28.04.2019;5271.746582;5326.231934;5255.683594;5285.139160
29.04.2019;5284.858398;5311.274902;5216.487793;5247.352539
30.04.2019;5247.726074;5363.257324;5224.189941;5350.726563
01.05.2019;5350.914551;5418.003906;5347.645996;5402.697266
02.05.2019;5402.422852;5522.262695;5394.217285;5505.283691
03.05.2019;5505.552246;5865.881836;5490.201660;5768.289551
04.05.2019;5769.202637;5886.893555;5645.469238;5831.167480
05.05.2019;5831.068359;5833.862793;5708.035156;5795.708496
06.05.2019;5791.693359;5802.957520;5653.687500;5746.807129
07.05.2019;5745.599121;5988.178223;5741.395996;5829.501465
08.05.2019;5849.481445;5989.980957;5794.715820;5982.457520
09.05.2019;5982.316406;6183.039063;5982.316406;6174.528809
10.05.2019;6175.822754;6434.617676;6161.519043;6378.849121
11.05.2019;6379.666992;7333.002930;6375.698730;7204.771484
12.05.2019;7203.507324;7503.872070;6815.770996;6972.371582
13.05.2019;6971.178223;8047.413086;6898.282227;7814.915039
14.05.2019;7807.884277;8268.712891;7696.391113;7994.416016
15.05.2019;7989.374512;8216.423828;7899.106934;8205.167969
16.05.2019;8194.500977;8320.824219;7729.608398;7884.909180
17.05.2019;7886.925781;7929.145508;7038.124512;7343.895508
18.05.2019;7341.664551;7447.271973;7251.504395;7271.208008
19.05.2019;7267.962891;8261.941406;7267.962891;8197.689453
20.05.2019;8196.923828;8200.967773;7678.781738;7978.309082
21.05.2019;7977.969238;8062.167969;7843.339844;7963.327637
22.05.2019;7956.291992;7997.612305;7615.987305;7680.066406
23.05.2019;7677.269043;7943.791504;7533.196777;7881.846680
24.05.2019;7881.695313;8140.719727;7824.448730;7987.371582
25.05.2019;7991.885254;8117.925781;7965.976074;8052.543945
26.05.2019;8055.206055;8687.520508;7924.670410;8673.215820
27.05.2019;8674.072266;8907.174805;8668.705078;8805.778320
28.05.2019;8802.757813;8807.016602;8634.721680;8719.961914
29.05.2019;8718.591797;8755.852539;8482.728516;8659.487305
30.05.2019;8661.760742;9008.314453;8221.273438;8319.472656
31.05.2019;8320.286133;8586.659180;8172.550781;8574.501953
01.06.2019;8573.839844;8625.600586;8481.578125;8564.016602
02.06.2019;8565.473633;8809.303711;8561.235352;8742.958008
03.06.2019;8741.747070;8743.500000;8204.185547;8208.995117
04.06.2019;8210.985352;8210.985352;7564.488770;7707.770996
05.06.2019;7704.343262;7901.849121;7668.668457;7824.231445
06.06.2019;7819.633301;7937.340820;7571.471191;7822.023438
07.06.2019;7826.901367;8126.153320;7788.373535;8043.951172
08.06.2019;8036.774902;8076.891113;7837.610840;7954.127930
09.06.2019;7949.674805;7975.974121;7583.219727;7688.077148
10.06.2019;7692.284668;8031.909668;7586.730957;8000.329590
11.06.2019;8004.243652;8026.394043;7772.803711;7927.714355
12.06.2019;7925.434082;8196.648438;7862.359863;8145.857422
13.06.2019;8145.545410;8311.567383;8087.061035;8230.923828
14.06.2019;8230.898438;8710.636719;8183.393066;8693.833008
15.06.2019;8689.746094;8859.127930;8618.395508;8838.375000
16.06.2019;8841.440430;9335.867188;8814.556641;8994.488281
17.06.2019;8988.923828;9416.407227;8988.923828;9320.352539
18.06.2019;9335.466797;9348.374023;9004.901367;9081.762695
19.06.2019;9078.727539;9299.621094;9070.395508;9273.521484
20.06.2019;9273.060547;9594.419922;9232.484375;9527.160156
21.06.2019;9525.074219;10144.556641;9525.074219;10144.556641
22.06.2019;10175.923828;11157.345703;10107.035156;10701.691406
23.06.2019;10696.691406;11246.144531;10556.095703;10855.371094
24.06.2019;10853.744141;11065.896484;10610.427734;11011.102539
25.06.2019;11007.202148;11790.916992;11007.202148;11790.916992
26.06.2019;11778.581055;13796.489258;11755.597656;13016.231445
27.06.2019;13017.125000;13311.144531;10491.852539;11182.806641
28.06.2019;11162.167969;12445.174805;10914.495117;12407.332031
29.06.2019;12400.763672;12400.910156;11508.378906;11959.371094
30.06.2019;11931.991211;12178.383789;10799.008789;10817.155273
01.07.2019;10796.930664;11206.439453;10089.314453;10583.134766
02.07.2019;10588.683594;10912.188477;9737.884766;10801.677734
03.07.2019;10818.156250;11968.078125;10818.156250;11961.269531
04.07.2019;11972.718750;12006.075195;11166.569336;11215.437500
05.07.2019;11203.102539;11395.661133;10874.964844;10978.459961
06.07.2019;10982.543945;11620.964844;10982.543945;11208.550781
07.07.2019;11217.616211;11541.620117;11148.804688;11450.846680
08.07.2019;11446.596680;12345.833008;11393.374023;12285.958008
09.07.2019;12284.326172;12779.131836;12233.261719;12573.812500
10.07.2019;12571.537109;13129.529297;11710.978516;12156.512695
11.07.2019;12139.713867;12144.623047;11158.922852;11358.662109
12.07.2019;11354.299805;11905.487305;11179.144531;11815.986328
13.07.2019;11813.126953;11841.957031;10908.479492;11392.378906
14.07.2019;11381.020508;11451.204102;10234.576172;10256.058594
15.07.2019;10257.838867;11052.766602;9992.006836;10895.089844
16.07.2019;10896.653320;10996.632813;9448.106445;9477.641602
17.07.2019;9471.213867;9963.134766;9163.134766;9693.802734
18.07.2019;9698.502930;10736.842773;9376.798828;10666.482422
19.07.2019;10653.956055;10716.980469;10229.628906;10530.732422
20.07.2019;10525.819336;11048.662109;10451.276367;10767.139648
21.07.2019;10777.529297;10841.887695;10389.599609;10599.105469
22.07.2019;10596.948242;10651.791016;10154.921875;10343.106445
23.07.2019;10346.748047;10346.748047;9883.594727;9900.767578
